name,kind,elev_m,lon,lat
Hohe Acht,mountain,747,7.017,50.39288
Hombori Tondo,mountain,1155,-1.68004,15.26008
Hongtu Zhang,mountain,1265,115.93725,23.76909
Howson Peak,mountain,2759,-127.75483,54.42178
Hua Shan,mountain,2130,110.12918,34.43598
Huanggang Shan,mountain,2170,117.78799,27.85329
Huanggangliang,mountain,2029,117.58143,43.54186
Humphreys Peak,mountain,3851,-111.67789,35.34633
Hunsberge,mountain,1655,17.16651,-27.83333
Hvannadalshnkur,mountain,2110,-16.65093,64.03889
Inyangani,mountain,2592,32.84741,-18.28129
Inyaptuk Golets,mountain,2641,111.6315,56.36409
Isachsen Mountain,mountain,3425,26.07996,-72.13004
Ishizuchi-san,mountain,1982,133.10997,33.77009
Ishpatina Ridge,mountain,693,-80.7577,47.33633
Iwate-san,mountain,2038,140.98948,39.85989
Jabal ad Dukhan,mountain,134,50.54999,26.03999
Jabal al Lawz,mountain,2580,35.28989,28.69
Jabal al Uwaynt,mountain,1934,24.98341,21.91649
Jabal an-Nabi Shu’aib,mountain,3666,43.97085,15.27511
Jabal ash Shaykh,mountain,2814,35.85998,33.41
Jabal Hamoyet,mountain,2726,37.99984,17.55012
Jabal Is,mountain,1851,35.46656,22.04987
Jabal Jihaf,mountain,3277,44.52138,13.74092
Jabal Marrah,mountain,3042,24.23795,12.94972
Jabal Oda,mountain,2260,36.66991,20.34009
Jabal Ramm,mountain,1754,35.40008,29.57009
Jabal Sawdā,mountain,3000,42.36391,18.2558
Jabal Shams,mountain,3035,57.26396,23.23689
Jabal Teljo,mountain,1954,25.9335,14.70022
Jabal Yibir,mountain,1527,56.13,25.65998
Jamanota,mountain,188,-69.93999,12.48999
Jebel Chambi,mountain,1544,8.67992,35.20007
Jebel Jar,mountain,2300,38.2081,24.56582
Jebel Lekst,mountain,2359,-9.08002,29.78998
Jebel Tidirhine,mountain,2456,-4.51181,34.83021
Jebel Toubkal,mountain,4165,-7.91613,31.06208
Jiuling Shan,mountain,1686,114.95,28.8838
Julianatop,mountain,1230,-56.5419,3.68301
Junipero Serra Peak,mountain,1787,-121.42208,36.15917
K2,mountain,8611,76.51321,35.88241
Kabbal Durga,mountain,921,77.29996,12.50001
Kabobo,mountain,2725,29.05068,-5.13997
Kackar Dagi,mountain,3931,41.12792,40.84148
Kailash,mountain,6638,81.31254,31.0666
Kanchenjunga,mountain,8586,88.15002,27.70008
Kangju Kangri,mountain,6725,78.48941,33.75143
Kangtö,mountain,7060,92.53202,27.8747
Kangze'gyai,mountain,5808,97.71588,38.51521
Kao,mountain,1109,-175.07579,-19.74556
Kartala,mountain,2361,43.36998,-11.75005
Kdeyyat ej Joul,mountain,915,-14.32999,19.72
Kebnekaise,mountain,2111,18.50452,67.90602
Keele Peak,mountain,2952,-130.32002,63.42999
Kegueur Terbi,mountain,3376,18.69994,21.41669
Kékes,mountain,1015,20.01,47.88008
Kennedy Peak,mountain,2703,93.77261,23.33165
Khao Luang,mountain,1780,99.734,8.49817
Khyber Pass,pass,1070,71.09783,34.09839
Kimhandu,mountain,2653,37.61822,-7.10049
King's Peak,mountain,4123,-110.37256,40.78211
Kinyeti,mountain,3187,32.90129,3.95509
Kiska Volcano,mountain,1220,177.6067,52.09211
Kizilkaya,mountain,3767,32.06995,37.96996
Kizlar Sivrisi,mountain,3070,30.15014,36.61487
Klyuchevskaya Sopka,mountain,4750,160.64394,56.05598
Kodachadri,mountain,1343,74.86168,13.87954
Köketau,mountain,4622,80.9398,45.17001
